scenario,repetition,seed,dwell_s,detection_latency_s,alert_precision,alert_recall,disposition_accuracy,data_completeness,sequence_gaps,rejection_rate,false_positive_alerts,final_disposition,injection_records_json
S1,0,2026,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,[]
S1,1,2127,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,[]
S1,2,2228,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,[]
S1,3,2329,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,[]
S1,4,2430,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,[]
S1,5,2531,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,[]
S1,6,2632,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,[]
S1,7,2733,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,[]
S1,8,2834,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,[]
S1,9,2935,120.0,,1.0,1.0,1.0,1.0,0,1.0,0,RELEASE,[]
S2,0,12026,120.0,,0.8666666666666667,0.8666666666666667,1.0,1.0,0,1.0,15,RELEASE,"[{""kind"": ""door_open"", ""injection_ts"": 1735690200.0, ""duration_s"": 325.0, ""detail"": ""door open 325 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735691100.0, ""duration_s"": 439.0, ""detail"": ""door open 439 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692000.0, ""duration_s"": 265.0, ""detail"": ""door open 265 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692900.0, ""duration_s"": 273.0, ""detail"": ""door open 273 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735693800.0, ""duration_s"": 446.0, ""detail"": ""door open 446 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735694700.0, ""duration_s"": 342.0, ""detail"": ""door open 342 simulated seconds""}]"
S2,1,12127,120.0,,0.8095238095238095,0.9444444444444444,1.0,1.0,0,1.0,21,RELEASE,"[{""kind"": ""door_open"", ""injection_ts"": 1735690200.0, ""duration_s"": 431.0, ""detail"": ""door open 431 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735691100.0, ""duration_s"": 353.0, ""detail"": ""door open 353 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692000.0, ""duration_s"": 471.0, ""detail"": ""door open 471 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692900.0, ""duration_s"": 266.0, ""detail"": ""door open 266 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735693800.0, ""duration_s"": 449.0, ""detail"": ""door open 449 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735694700.0, ""duration_s"": 415.0, ""detail"": ""door open 415 simulated seconds""}]"
